title,cover_img,year_released,release_type
The Red Hot Chili Peppers,https://i.discogs.com/9tHg6msS4tTGb1uxdMlD4JZ7AJcfVidavUAaNMMidtE/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY4Nzg4/MC0xMjI1MzUyODUz/LmpwZWc.jpeg,1984,studio_album
Freaky Styley,https://i.discogs.com/UX2CcDkA-qvABPiPGfhtvV_pM2P0q3prVGtNRkQJyhI/rs:fit/g:sm/q:90/h:600/w:597/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY4NzE2/OS0xNDk3Njc4NDQ3/LTUzODIuanBlZw.jpeg,1985,studio_album
The Uplift Mofo Party Plan,https://i.discogs.com/dyGUsTno_cqZXmO-qFkpz382mDfVxaeTvKvR8ekog4Q/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY4OTcz/OS0xMzQ4NDY4MjMz/LTcwNzEuanBlZw.jpeg,1987,studio_album
Mother's Milk,https://i.discogs.com/FZjsnBgcUt24K9n2lW0eSdv9zh-meQ5VdZI__35Dkug/rs:fit/g:sm/q:90/h:599/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg5NTcz/Ny0xNTMxOTc2Mjg2/LTY4MTcuanBlZw.jpeg,1989,studio_album
Sock-Cess,https://i.discogs.com/DQiRxfVbkiOYfyLxSangleP2u2qR00oyJoB2qXah7Mk/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2MjA2/NTYtMTI3Njc4OTEw/MC5qcGVn.jpeg,1989,studio_album
Blood Sugar Sex Magik,https://i.discogs.com/TBFMsp_ki2nO56jvJ4CR7X5KwWGv1Apai7DPg-3usyI/rs:fit/g:sm/q:90/h:590/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM3NTQ5/MS0xNTA3MjkyNTg2/LTE5NDIuanBlZw.jpeg,1991,studio_album
What Hits!?,https://i.discogs.com/CIJfEhs2r3XH3IPeXF5qmai492vkr3POlfTnZOKQ2sY/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM4MjE2/Mi0xMTcyMTg2MjEx/LmpwZWc.jpeg,1992,studio_album
Live Rare Remix Box,https://i.discogs.com/3Yxk-PtaHCBBcYjQUJWUbLFZFaxcYJVX0IhQLBpf69k/rs:fit/g:sm/q:90/h:523/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxMzYy/MTI1LTE2Mzk1OTI0/NDktMzM1MC5qcGVn.jpeg,1994,studio_album
Out in L.A.,https://i.discogs.com/3kmu7jveHuRMnp44uRJzczLmgt94kFzQdkKDE69moXo/rs:fit/g:sm/q:90/h:600/w:593/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzMjM4/MjctMTU5ODA1MDAx/Ny03MzU4LmpwZWc.jpeg,1994,studio_album
The Best of the Red Hot Chili Peppers,https://i.discogs.com/WOKZDZ1byCpbEbV3SIXCH6P_GP03-Fb47YFzFqxR5Bk/rs:fit/g:sm/q:90/h:600/w:587/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMyODYz/MTgtMTMyNDI3Mzk3/NS5qcGVn.jpeg,1994,studio_album
