music_id,album_genre
1,rock
2,pop
3,pop
4,pop
5,pop
6,rock
7,rock
8,rock
9,rock
10,rock
11,rock
12,rock
13,rock
14,rock
15,rock
16,rock
17,rock
18,rock
19,soul
20,soul
21,soul
22,soul
23,soul
24,soul
25,soul
26,soul
27,soul
28,soul
29,soul
30,soul
31,pop
32,pop
33,pop
34,pop
35,pop
36,pop
37,pop
38,pop
39,pop
40,pop
41,pop
42,pop
43,pop
44,pop
45,pop
46,rock
47,rock
48,rock
49,rock
50,rock
51,rock
52,rock
53,rock
54,rock
55,rock
56,rock
57,rock
58,rock
